iter	Logloss
0	0.3510136062
1	0.2378272191
2	0.2012446731
3	0.1806261752
4	0.169612601
5	0.1632380075
6	0.1591502857
7	0.1558391248
8	0.1542815576
9	0.1520482422
10	0.1507540844
11	0.1495385069
12	0.1486312423
13	0.1477849907
14	0.1472499524
15	0.1468548562
16	0.1462967161
17	0.1462503068
18	0.1457455864
19	0.145194471
20	0.1449433273
21	0.1445741617
22	0.1444592054
23	0.143908721
24	0.1435750824
25	0.1434426791
26	0.1430103319
27	0.1428045945
28	0.1424996803
29	0.1424161578
30	0.1423721156
31	0.1421417898
32	0.1420679005
33	0.1418279563
34	0.1414338666
35	0.1413022929
36	0.1411922538
37	0.1406626518
38	0.1402178058
39	0.1402107085
40	0.1399530191
41	0.1393592
42	0.1389297972
43	0.1384965837
44	0.138293008
45	0.1382180584
46	0.1377200105
47	0.1373721315
48	0.1371582562
49	0.1368103085
