iter	Passed	Remaining
0	38	1890
1	80	1942
2	120	1882
3	173	1990
4	220	1985
5	267	1961
6	312	1917
7	348	1829
8	386	1761
9	424	1697
10	461	1636
11	495	1568
12	528	1505
13	570	1466
14	605	1411
15	641	1362
16	683	1327
17	711	1264
18	750	1225
19	817	1225
20	898	1240
21	950	1209
22	988	1160
23	1033	1119
24	1075	1075
25	1109	1023
26	1154	983
27	1203	945
28	1254	908
29	1294	863
30	1332	816
31	1367	769
32	1408	725
33	1448	681
34	1484	636
35	1518	590
36	1556	546
37	1591	502
38	1625	458
39	1664	416
40	1700	373
41	1738	331
42	1773	288
43	1808	246
44	1844	204
45	1886	164
46	1922	122
47	1969	82
48	2013	41
49	2059	0
