iter	Passed	Remaining
0	57	31277
1	105	28742
2	151	27501
3	179	24300
4	228	24778
5	279	25213
6	324	25046
7	372	25099
8	400	23918
9	452	24282
10	505	24631
11	540	24108
12	582	23943
13	628	23939
14	676	23999
15	726	24112
16	770	24029
17	805	23676
18	847	23559
19	885	23326
20	927	23225
21	979	23381
22	1025	23372
23	1068	23279
24	1113	23253
25	1166	23366
26	1221	23528
27	1261	23376
28	1309	23390
29	1411	24324
30	1456	24238
31	1475	23750
32	1519	23671
33	1558	23519
34	1609	23550
35	1655	23492
36	1694	23356
37	1735	23243
38	1784	23245
39	1845	23390
40	1906	23525
41	1950	23452
42	1992	23350
43	2012	23005
44	2047	22836
45	2079	22645
46	2120	22555
47	2160	22464
48	2192	22285
49	2227	22144
50	2263	22010
51	2287	21776
52	2326	21686
53	2356	21517
54	2387	21359
55	2430	21309
56	2462	21169
57	2484	20948
58	2528	20911
59	2578	20925
60	2608	20783
61	2648	20715
62	2661	20449
63	2689	20297
64	2711	20105
65	2760	20118
66	2803	20086
67	2850	20077
68	2884	19979
69	2908	19816
70	2934	19670
71	2974	19621
72	3008	19534
73	3049	19489
74	3099	19509
75	3141	19471
76	3162	19300
77	3202	19254
78	3222	19092
79	3262	19045
80	3289	18926
81	3328	18877
82	3355	18757
83	3376	18610
84	3425	18619
85	3443	18460
86	3486	18435
87	3522	18371
88	3563	18338
89	3611	18337
90	3641	18249
91	3679	18198
92	3725	18187
93	3760	18122
94	3780	17988
95	3830	17995
96	3869	17953
97	3900	17868
98	3926	17766
99	3968	17738
100	3998	17654
101	4039	17624
102	4072	17556
103	4120	17552
104	4164	17530
105	4192	17440
106	4236	17422
107	4279	17396
108	4313	17333
109	4356	17308
110	4381	17209
111	4421	17172
112	4440	17054
113	4480	17017
114	4521	16985
115	4564	16959
116	4609	16941
117	4637	16858
118	4656	16746
119	4678	16647
120	4721	16624
121	4759	16580
122	4784	16493
123	4805	16391
124	4840	16340
125	4878	16301
126	4921	16274
127	4970	16270
128	5012	16241
129	5055	16215
130	5093	16175
131	5131	16133
132	5179	16122
133	5223	16100
134	5264	16065
135	5301	16020
136	5346	15999
137	5394	15987
138	5441	15972
139	5486	15950
140	5526	15913
141	5565	15874
142	5615	15864
143	5671	15871
144	5712	15838
145	5752	15798
146	5795	15770
147	5843	15752
148	5888	15729
149	5940	15721
150	5989	15706
151	6030	15671
152	6087	15675
153	6133	15652
154	6188	15649
155	6236	15630
156	6288	15619
157	6345	15623
158	6402	15622
159	6462	15630
160	6528	15651
161	6591	15664
162	6642	15648
163	6705	15659
164	6766	15665
165	6818	15649
166	6873	15641
167	6945	15668
168	7037	15740
169	7088	15719
170	7137	15693
171	7194	15684
172	7259	15694
173	7320	15693
174	7377	15683
175	7440	15683
176	7501	15681
177	7562	15677
178	7637	15702
179	7795	15894
180	7856	15886
181	7910	15863
182	7964	15841
183	8014	15811
184	8062	15776
185	8120	15759
186	8173	15735
187	8231	15719
188	8294	15711
189	8345	15681
190	8405	15667
191	8459	15640
192	8517	15623
193	8573	15600
194	8632	15583
195	8680	15545
196	8733	15516
197	8783	15481
198	8838	15456
199	8889	15422
200	8930	15372
201	8979	15337
202	9027	15297
203	9074	15257
204	9123	15220
205	9168	15177
