,code,station_name,line,color,opening,type,blk_no,road_name,building,address,postal,x,y,latitude,longitude,planning_area_ura,region_ura
0,NS1,Jurong East,North-South Line ,Red,1990-03-10,MRT,10,JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690,609690,17869.0570516568,35038.9688695427,1.33315281585758,103.742286332403,JURONG EAST,WEST REGION
1,NS2,Bukit Batok,North-South Line ,Red,1990-03-10,MRT,10,BUKIT BATOK CENTRAL,BUKIT BATOK MRT STATION (NS2),10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,659958,18679.3223191258,36794.9260214306,1.34903331201636,103.749566478309,BUKIT BATOK,WEST REGION
2,NS3,Bukit Gombak,North-South Line ,Red,1990-03-10,MRT,802,BUKIT BATOK WEST AVENUE 5,BUKIT GOMBAK MRT STATION (NS3),802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION (NS3) SINGAPORE 659083,659083,18926.9127006577,37854.0358848721,1.35861159094192,103.751790910733,BUKIT BATOK,WEST REGION
3,NS4,Choa Chu Kang,North-South Line ,Red,1990-03-10,MRT,10,CHOA CHU KANG AVENUE 4,CHOA CHU KANG MRT STATION (NS4),10 CHOA CHU KANG AVENUE 4 CHOA CHU KANG MRT STATION (NS4) SINGAPORE 689810,689810,18101.2472041463,40812.1216052417,1.38536316540225,103.744370779756,CHOA CHU KANG,WEST REGION
4,NS5,Yew Tee,North-South Line ,Red,1996-02-10,MRT,61,CHOA CHU KANG DRIVE,YEW TEE MRT STATION (NS5),61 CHOA CHU KANG DRIVE YEW TEE MRT STATION (NS5) SINGAPORE 689715,689715,18438.9831173802,42158.0181021616,1.39753506936297,103.747405150236,CHOA CHU KANG,WEST REGION
5,NS7,Kranji,North-South Line ,Red,1996-02-10,MRT,960,WOODLANDS ROAD,KRANJI MRT STATION (NS7),960 WOODLANDS ROAD KRANJI MRT STATION (NS7) SINGAPORE 738702,738702,20078.5865077013,45204.5168451127,1.42508698073648,103.762137459497,SUNGEI KADUT,NORTH REGION
6,NS8,Marsiling,North-South Line ,Red,1996-02-10,MRT,71,WOODLANDS AVENUE 3,MARSILING MRT STATION (NS8),71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044,739044,21407.0413211482,46026.5125302058,1.43252114855026,103.774074641403,WOODLANDS,NORTH REGION
7,NS9,Woodlands,North-South Line ,Red,1996-02-10,MRT,30,WOODLANDS AVENUE 2,WOODLANDS MRT STATION (NS9),30 WOODLANDS AVENUE 2 WOODLANDS MRT STATION (NS9) SINGAPORE 738343,738343,22741.5981903812,46501.7861009166,1.43681962961519,103.786066799253,WOODLANDS,NORTH REGION
8,NS10,Admiralty,North-South Line ,Red,1996-02-10,MRT,70,WOODLANDS AVENUE 7,ADMIRALTY MRT STATION (NS10),70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION (NS10) SINGAPORE 738344,738344,24402.3866267931,46918.506801948,1.44058856161847,103.800990519771,WOODLANDS,NORTH REGION
9,NS11,Sembawang,North-South Line ,Red,1996-02-10,MRT,11,CANBERRA ROAD,SEMBAWANG MRT STATION (NS11),11 CANBERRA ROAD SEMBAWANG MRT STATION (NS11) SINGAPORE 759775,759775,26522.9882623879,47854.1998395547,1.44905082158502,103.820046140211,SEMBAWANG,NORTH REGION
10,NS12,Canberra,North-South Line ,Red,2019-11-02,MRT,11,CANBERRA LINK,CANBERRA MRT STATION (NS12),11 CANBERRA LINK CANBERRA MRT STATION (NS12) SINGAPORE 756972,756972,27597.5969376964,47193.6008830499,1.44307664075699,103.829702590959,SEMBAWANG,NORTH REGION
11,NS13,Yishun,North-South Line ,Red,1988-12-20,MRT,301,YISHUN AVENUE 2,YISHUN MRT STATION (NS13),301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,769093,28187.6788169928,45686.0705381557,1.42944308477331,103.835005047246,YISHUN,NORTH REGION
12,NS14,Khatib,North-South Line ,Red,1988-12-20,MRT,201,YISHUN AVENUE 2,KHATIB MRT STATION (NS14),201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092,769092,27962.3108561579,44352.5679935999,1.41738337009565,103.832979908243,YISHUN,NORTH REGION
13,NS15,Yio Chu Kang,North-South Line ,Red,1987-11-07,MRT,3000,ANG MO KIO AVENUE 8,YIO CHU KANG MRT STATION (NS15),3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813,569813,29294.1262330338,40413.0626359228,1.38175587099132,103.84494727118,ANG MO KIO,NORTH-EAST REGION
14,NS16,Ang Mo Kio,North-South Line ,Red,1987-11-07,MRT,2795,ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION (NS16),2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812,569812,29807.2611468043,39105.7359950263,1.36993284962262,103.84955809232,ANG MO KIO,NORTH-EAST REGION
15,NS17,Bishan,North-South Line ,Red,1987-11-07,MRT,200,BISHAN ROAD,BISHAN MRT STATION (NS17),200 BISHAN ROAD BISHAN MRT STATION (NS17) SINGAPORE 579827,579827,29649.8988074977,36994.4330169763,1.35083898784737,103.848143964542,BISHAN,CENTRAL REGION
16,NS18,Braddell,North-South Line ,Red,1987-11-07,MRT,377,LORONG 1 TOA PAYOH,BRADDELL MRT STATION (NS18),377 LORONG 1 TOA PAYOH BRADDELL MRT STATION (NS18) SINGAPORE 319756,319756,29500.2349482412,35847.7719815206,1.3404690010277,103.846799083148,TOA PAYOH,CENTRAL REGION
17,NS19,Toa Payoh,North-South Line ,Red,1987-11-07,MRT,510,LORONG 6 TOA PAYOH,TOA PAYOH MRT STATION (NS19),510 LORONG 6 TOA PAYOH TOA PAYOH MRT STATION (NS19) SINGAPORE 319398,319398,29578.4890669128,34980.8962922301,1.33262928096888,103.847502198048,TOA PAYOH,CENTRAL REGION
18,NS20,Novena,North-South Line ,Red,1987-12-12,MRT,250,THOMSON ROAD,NOVENA MRT STATION (NS20),250 THOMSON ROAD NOVENA MRT STATION (NS20) SINGAPORE 307642,307642,29169.3297925005,33633.1535391063,1.32044079120154,103.843825618748,NOVENA,CENTRAL REGION
19,NS21,Newton,North-South Line ,Red,1987-12-12,MRT,49,SCOTTS ROAD,NEWTON MRT STATION (NS21),49 SCOTTS ROAD NEWTON MRT STATION (NS21) SINGAPORE 228234,228234,28519.2830723543,32735.0770371091,1.3123189224097,103.837984594021,NEWTON,CENTRAL REGION
20,NS22,Orchard,North-South Line ,Red,1987-12-12,MRT,437,ORCHARD ROAD,ORCHARD MRT STATION (NS22),437 ORCHARD ROAD ORCHARD MRT STATION (NS22) SINGAPORE 238878,238878,27880.5476490632,31813.0165782962,1.30398013681715,103.832245244375,ORCHARD,CENTRAL REGION
21,NS23,Somerset,North-South Line ,Red,1987-12-12,MRT,1,SOMERSET ROAD,SOMERSET MRT STATION (NS23),1 SOMERSET ROAD SOMERSET MRT STATION (NS23) SINGAPORE 238162,238162,28641.8346576076,31402.1245223526,1.30026416739006,103.839085753124,ORCHARD,CENTRAL REGION
22,NS24,Dhoby Ghaut,North-South Line ,Red,1987-12-12,MRT,11,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NS24),11 ORCHARD ROAD DHOBY GHAUT MRT STATION (NS24) SINGAPORE 238826,238826,29423.9804536467,31229.3163704202,1.29870132536119,103.846113677951,MUSEUM,CENTRAL REGION
