alphanumeric_code,station_name_english,station_name_chinese,line_english,line_chinese,line_color,opening,transport_type
NS1,Jurong East,裕廊东,North-South Line ,南北线,Red,1990-03-10,MRT
NS2,Bukit Batok,武吉巴督,North-South Line ,南北线,Red,1990-03-10,MRT
NS3,Bukit Gombak,武吉甘柏,North-South Line ,南北线,Red,1990-03-10,MRT
NS4,Choa Chu Kang,蔡厝港,North-South Line ,南北线,Red,1990-03-10,MRT
NS5,Yew Tee,油池,North-South Line ,南北线,Red,1996-02-10,MRT
NS7,Kranji,克兰芝,North-South Line ,南北线,Red,1996-02-10,MRT
NS8,Marsiling,马西岭,North-South Line ,南北线,Red,1996-02-10,MRT
NS9,Woodlands,兀兰,North-South Line ,南北线,Red,1996-02-10,MRT
NS10,Admiralty,海军部,North-South Line ,南北线,Red,1996-02-10,MRT
NS11,Sembawang,三巴旺,North-South Line ,南北线,Red,1996-02-10,MRT
NS12,Canberra,坎贝拉,North-South Line ,南北线,Red,2019-11-02,MRT
NS13,Yishun,义顺,North-South Line ,南北线,Red,1988-12-20,MRT
NS14,Khatib,卡迪,North-South Line ,南北线,Red,1988-12-20,MRT
NS15,Yio Chu Kang,杨厝港,North-South Line ,南北线,Red,1987-11-07,MRT
NS16,Ang Mo Kio,宏茂桥,North-South Line ,南北线,Red,1987-11-07,MRT
NS17,Bishan,碧山,North-South Line ,南北线,Red,1987-11-07,MRT
NS18,Braddell,布莱德,North-South Line ,南北线,Red,1987-11-07,MRT
NS19,Toa Payoh,大巴窑,North-South Line ,南北线,Red,1987-11-07,MRT
NS20,Novena,诺维娜,North-South Line ,南北线,Red,1987-12-12,MRT
NS21,Newton,纽顿,North-South Line ,南北线,Red,1987-12-12,MRT
NS22,Orchard,乌节,North-South Line ,南北线,Red,1987-12-12,MRT
NS23,Somerset,索美塞,North-South Line ,南北线,Red,1987-12-12,MRT
NS24,Dhoby Ghaut,多美歌,North-South Line ,南北线,Red,1987-12-12,MRT
NS25,City Hall,政府大厦,North-South Line ,南北线,Red,1987-12-12,MRT
NS26,Raffles Place,莱佛士坊,North-South Line ,南北线,Red,1987-12-12,MRT
NS27,Marina Bay,滨海湾,North-South Line ,南北线,Red,1989-11-04,MRT
NS28,Marina South Pier,滨海南码头,North-South Line ,南北线,Red,2014-11-23,MRT
EW1,Pasir Ris,巴西立,East-West Line,东西线,Green,1989-12-16,MRT
EW2,Tampines,淡滨尼,East-West Line,东西线,Green,1989-12-16,MRT
EW3,Simei,四美,East-West Line,东西线,Green,1989-12-16,MRT
EW4,Tanah Merah,丹那美拉,East-West Line,东西线,Green,1989-11-04,MRT
EW5,Bedok,勿洛,East-West Line,东西线,Green,1989-11-04,MRT
EW6,Kembangan,景万岸,East-West Line,东西线,Green,1989-11-04,MRT
EW7,Eunos,友诺士,East-West Line,东西线,Green,1989-11-04,MRT
EW8,Paya Lebar,巴耶利峇,East-West Line,东西线,Green,1989-11-04,MRT
EW9,Aljunied,阿裕尼,East-West Line,东西线,Green,1989-11-04,MRT
EW10,Kallang,加冷,East-West Line,东西线,Green,1989-11-04,MRT
EW11,Lavender,劳明达,East-West Line,东西线,Green,1989-11-04,MRT
EW12,Bugis,武吉士,East-West Line,东西线,Green,1989-11-04,MRT
EW13,City Hall,政府大厦,East-West Line,东西线,Green,1987-12-12,MRT
EW14,Raffles Place,莱佛士坊,East-West Line,东西线,Green,1987-12-12,MRT
EW15,Tanjong Pagar,丹戎巴葛,East-West Line,东西线,Green,1987-12-12,MRT
EW16,Outram Park,欧南园,East-West Line,东西线,Green,1987-12-12,MRT
EW17,Tiong Bahru,中峇鲁,East-West Line,东西线,Green,1988-03-12,MRT
EW18,Redhill,红山,East-West Line,东西线,Green,1988-03-12,MRT
EW19,Queenstown,女皇镇,East-West Line,东西线,Green,1988-03-12,MRT
EW20,Commonwealth,联邦,East-West Line,东西线,Green,1988-03-12,MRT
EW21,Buona Vista,波那维斯达,East-West Line,东西线,Green,1988-03-12,MRT
EW22,Dover,杜弗,East-West Line,东西线,Green,2001-10-18,MRT
EW23,Clementi,金文泰,East-West Line,东西线,Green,1988-03-12,MRT
EW24,Jurong East,裕廊东,East-West Line,东西线,Green,1988-11-05,MRT
EW25,Chinese Garden,裕华园,East-West Line,东西线,Green,1988-11-05,MRT
EW26,Lakeside,湖畔,East-West Line,东西线,Green,1988-11-05,MRT
EW27,Boon Lay,文礼,East-West Line,东西线,Green,1990-07-06,MRT
